seed,eps,region,n_snps,n_train,n_test,n_ctrl,n_min,delta1,scale,lr_threshold_test_95pct,lr_power,lr_member_mean,lr_nonmember_mean,true_sig,noisy_sig,tp,precision,recall,jaccard,maf_mse,maf_mae,clip_frac,shrink_alpha
0,0.03,chr10_1Mb,581,123,53,120,49,11.857142857142858,395.2380952380953,-1651.024744924115,0.04065040650406504,-4639.2404527321605,-4709.052922481346,89,427,67,0.15690866510538642,0.7528089887640449,0.1492204899777283,0.41825259277293547,0.5111117007715273,0.9982788296041308,1.0
1,0.03,chr10_1Mb,581,123,53,120,48,12.104166666666666,403.47222222222223,-1629.1541040443735,0.008130081300813009,-4439.544835761266,-4570.805716539967,88,414,63,0.15217391304347827,0.7159090909090909,0.14350797266514806,0.3980967342608023,0.4901617967425726,0.9948364888123924,1.0
2,0.03,chr10_1Mb,581,123,53,120,48,12.104166666666666,403.47222222222223,-1635.2029193535623,0.04065040650406504,-4612.795699195072,-5079.66849128195,77,430,61,0.14186046511627906,0.7922077922077922,0.1367713004484305,0.430034231168244,0.52245459737382,1.0,1.0
3,0.03,chr10_1Mb,581,123,53,120,43,13.511627906976743,450.3875968992248,-1516.926477428116,0.0,-4339.215246931606,-5300.804339936119,83,426,60,0.14084507042253522,0.7228915662650602,0.133630289532294,0.4165375854090298,0.5087296889360515,0.9982788296041308,1.0
4,0.03,chr10_1Mb,581,123,53,120,53,10.962264150943396,365.40880503144655,-1489.2465594133694,0.04065040650406504,-4418.911991338484,-4179.714659832208,92,421,68,0.16152019002375298,0.7391304347826086,0.15280898876404495,0.3849111342812537,0.4789978932267668,0.9948364888123924,1.0
5,0.03,chr10_1Mb,581,123,53,120,52,11.173076923076923,372.43589743589746,-1634.6451871383401,0.04878048780487805,-4878.42330038859,-4634.382588714812,94,434,72,0.16589861751152074,0.7659574468085106,0.15789473684210525,0.431360260804046,0.5250211884043842,0.9982788296041308,1.0
6,0.03,chr10_1Mb,581,123,53,120,47,12.361702127659575,412.0567375886525,-1586.903697509433,0.08130081300813008,-4556.868513222664,-5118.227274853077,83,431,60,0.13921113689095127,0.7228915662650602,0.13215859030837004,0.4256525794410782,0.5189330151549401,1.0,1.0
7,0.03,chr10_1Mb,581,123,53,120,48,12.104166666666666,403.47222222222223,-1460.2335326734963,0.07317073170731707,-4587.258849271772,-4695.272930393551,71,436,56,0.12844036697247707,0.7887323943661971,0.12416851441241686,0.4192841318006168,0.5109020168284036,1.0,1.0
8,0.03,chr10_1Mb,581,123,53,120,47,12.361702127659575,412.0567375886525,-1629.5739590845744,0.024390243902439025,-4437.13688424908,-4424.317288661068,100,415,74,0.1783132530120482,0.74,0.16780045351473924,0.3899896616483573,0.4837598875013246,1.0,1.0
9,0.03,chr10_1Mb,581,123,53,120,50,11.62,387.3333333333333,-1534.4232160715164,0.04878048780487805,-4419.261366183445,-4579.690849970782,86,420,59,0.14047619047619048,0.686046511627907,0.1319910514541387,0.4009860263644079,0.4932887471167752,0.9982788296041308,1.0
0,0.1,chr10_1Mb,581,123,53,120,49,11.857142857142858,118.57142857142857,-1651.024744924115,0.04065040650406504,-4638.11009375196,-4707.928657080553,89,427,67,0.15690866510538642,0.7528089887640449,0.1492204899777283,0.4173899638205149,0.5102175694823946,0.9982788296041308,1.0
1,0.1,chr10_1Mb,581,123,53,120,48,12.104166666666666,121.04166666666666,-1604.6126841181517,0.008130081300813009,-4412.985823439171,-4540.851177082955,88,413,63,0.15254237288135594,0.7159090909090909,0.14383561643835616,0.39485348186049285,0.4872256947095199,0.9913941480206541,1.0
2,0.1,chr10_1Mb,581,123,53,120,48,12.104166666666666,121.04166666666666,-1635.2029193535623,0.04065040650406504,-4602.946247124202,-5068.239410105374,77,430,61,0.14186046511627906,0.7922077922077922,0.1367713004484305,0.42995180593471766,0.5224128791683386,0.9982788296041308,1.0
3,0.1,chr10_1Mb,581,123,53,120,43,13.511627906976743,135.11627906976742,-1498.4013667858342,0.008130081300813009,-4306.759280738717,-5259.862361879546,83,425,60,0.1411764705882353,0.7228915662650602,0.13392857142857142,0.4140521358710735,0.5066094753233538,0.9931153184165232,1.0
4,0.1,chr10_1Mb,581,123,53,120,53,10.962264150943396,109.62264150943395,-1483.0021748939575,0.024390243902439025,-4377.4294216689905,-4141.258252012844,92,419,68,0.162291169451074,0.7391304347826086,0.15349887133182843,0.3809393213484054,0.4752113165575121,0.9862306368330465,1.0
5,0.1,chr10_1Mb,581,123,53,120,52,11.173076923076923,111.73076923076923,-1595.4991177120057,0.04878048780487805,-4842.804570388394,-4595.981403716371,94,434,72,0.16589861751152074,0.7659574468085106,0.15789473684210525,0.42962276097478314,0.5235460777615144,0.9948364888123924,1.0
6,0.1,chr10_1Mb,581,123,53,120,47,12.361702127659575,123.61702127659574,-1586.903697509433,0.08130081300813008,-4538.697813225726,-5097.048476646933,83,431,60,0.13921113689095127,0.7228915662650602,0.13215859030837004,0.4240819476610344,0.5176559225218683,0.9965576592082617,1.0
7,0.1,chr10_1Mb,581,123,53,120,48,12.104166666666666,121.04166666666666,-1460.2335326734963,0.07317073170731707,-4538.287130520911,-4643.524165407065,71,436,56,0.12844036697247707,0.7887323943661971,0.12416851441241686,0.4165734387551735,0.5093402757231633,0.9931153184165232,1.0
8,0.1,chr10_1Mb,581,123,53,120,47,12.361702127659575,123.61702127659574,-1629.5739590845744,0.024390243902439025,-4415.310328109342,-4401.914643303654,100,415,74,0.1783132530120482,0.74,0.16780045351473924,0.3886871520786164,0.4829268543652322,0.9965576592082617,1.0
9,0.1,chr10_1Mb,581,123,53,120,50,11.62,116.19999999999999,-1532.5636119021538,0.04878048780487805,-4402.615824436854,-4562.649444071971,86,419,59,0.14081145584725538,0.686046511627907,0.13228699551569506,0.400059976002847,0.4921128322311908,0.9948364888123924,1.0
0,0.3,chr10_1Mb,581,123,53,120,49,11.857142857142858,39.523809523809526,-1628.9825661351701,0.04065040650406504,-4560.525109753294,-4628.278008537485,89,425,67,0.15764705882352942,0.7528089887640449,0.14988814317673377,0.41414082551854364,0.5076651215553456,0.9862306368330465,1.0
1,0.3,chr10_1Mb,581,123,53,120,48,12.104166666666666,40.34722222222222,-1601.9105001311132,0.008130081300813009,-4387.314216502136,-4513.72622173281,88,411,63,0.15328467153284672,0.7159090909090909,0.1444954128440367,0.3923564289264418,0.4840339661228607,0.9862306368330465,1.0
2,0.3,chr10_1Mb,581,123,53,120,48,12.104166666666666,40.34722222222222,-1622.7250521177293,0.04065040650406504,-4549.871724918489,-5008.547426172634,77,430,61,0.14186046511627906,0.7922077922077922,0.1367713004484305,0.4272940682666587,0.5205478889577452,0.9913941480206541,1.0
3,0.3,chr10_1Mb,581,123,53,120,43,13.511627906976743,45.03875968992248,-1460.6252045846754,0.008130081300813009,-4172.15883503555,-5085.6086435799225,83,423,59,0.13947990543735225,0.7108433734939759,0.1319910514541387,0.40271892363906553,0.4979799750178919,0.9741824440619621,1.0
