region,eps,lr_power_mean,lr_power_std,jaccard_mean,jaccard_std,maf_mae_mean,maf_mae_std,rmse_maf_mean,rmse_maf_std,corr_maf_mean,corr_maf_std,true_sig_mean,true_sig_std,noisy_sig_mean,noisy_sig_std
chr10_1Mb,0.03,0.07886178861788617,0.053799328035436515,0.08447808530457748,0.015015210453093161,0.09712842666426105,0.004802831966822121,0.214207525039709,0.011548949312777002,0.8550798301843612,0.015951492907006943,86.3,8.380532998165055,53.9,5.065131346328105
chr10_1Mb,0.1,0.07886178861788617,0.06482008672049648,0.08580023088431374,0.01549842376491953,0.09517917272041429,0.005612771015387396,0.2092743742194798,0.010266362210352245,0.8616978690022862,0.01336174565322303,86.3,8.380532998165055,53.0,6.182412330330468
chr10_1Mb,0.3,0.08373983739837398,0.051568903389251936,0.07649039711648462,0.021223375467885636,0.09365612218680183,0.005359685446608222,0.20733184111700478,0.011189474223999024,0.864848834894012,0.014168660583789931,86.3,8.380532998165055,52.0,5.925462944877059
chr10_1Mb,1.0,0.08292682926829269,0.06141665246272215,0.07815435082378748,0.023997833046539286,0.08240300488028361,0.005118969552002398,0.18356901918931245,0.014490771866660748,0.8938512817046556,0.015975319674188304,86.3,8.380532998165055,43.4,3.657564459825388
chr10_1Mb,3.0,0.06585365853658537,0.03124180550017257,0.05970180475727109,0.017839210237883825,0.06143908581050881,0.0053546469309713645,0.1274783184693908,0.012052962185523767,0.9490253782393209,0.00944018736633204,86.3,8.380532998165055,27.9,4.886489310105751
chr10_1Mb,10.0,0.08943089430894309,0.04583071687069854,0.05881507174460952,0.01955915504412291,0.056988458838740284,0.0038701687202851815,0.11295447472227642,0.006628233645933053,0.9603340730881864,0.004601709449591284,86.3,8.380532998165055,25.7,3.301514803843836
chr2_5Mb,0.03,0.07804878048780488,0.04059616978010625,0.1787419601741716,0.021701090028505773,0.21423304504246485,0.011122727089443821,0.3186286797710842,0.014534174757945478,0.6089348242216159,0.03146943040538047,126.6,3.4383458555273676,59.6,5.059644256269406
chr2_5Mb,0.1,0.06829268292682926,0.034322255173956775,0.1730900711106938,0.028350182120355664,0.21082596392659297,0.01187786491872986,0.31228350901160046,0.014548131161822048,0.624506888767512,0.028300059330920425,126.6,3.4383458555273676,58.0,4.396968652757643
chr2_5Mb,0.3,0.06016260162601626,0.02873140006655517,0.1790584202699594,0.02349746212995182,0.21055828059609644,0.018402715119073633,0.31268828583104447,0.024832043578818408,0.6229659400881393,0.058238811173657035,126.6,3.4383458555273676,58.0,5.0990195135927845
chr2_5Mb,1.0,0.07886178861788617,0.03775603687125879,0.18752942810472245,0.030085474626700755,0.1922377953743425,0.008189228045287447,0.28428531121274253,0.011243834276116022,0.6932964527895067,0.023659314409131795,126.6,3.4383458555273676,55.6,6.380525927469545
chr2_5Mb,3.0,0.0886178861788618,0.03724685538976406,0.17610731709320265,0.024696605186238656,0.1645385058536614,0.0064603077150186105,0.2430565075054504,0.00953660863775648,0.7792280428048493,0.01624967772614271,126.6,3.4383458555273676,46.6,3.8643671323171835
chr2_5Mb,10.0,0.08943089430894309,0.052688948767543584,0.19811759652400798,0.019433867596699045,0.15633474997062255,0.006150846153528095,0.2283282363611428,0.008623444442498745,0.8073342476934144,0.01284909243405065,126.6,3.4383458555273676,47.7,6.2012543533994435
