seed,eps,region,case_pop,n_snps,n_train,n_test,n_ctrl,report_k,zero_reports,lr_threshold_test_95pct,lr_power,lr_member_mean,lr_nonmember_mean,true_sig,noisy_sig,tp,precision,recall,jaccard,maf_mae,rmse_maf,corr_maf
0,0.03,chr10_1Mb,MKK,588,120,51,165,1,478,-744.8816127808832,0.09166666666666666,-831.7618991630663,-829.1179234310009,320,98,52,0.5306122448979592,0.1625,0.14207650273224043,0.19546599116650226,0.27242883688865077,0.6333679336291317
1,0.03,chr10_1Mb,MKK,588,120,51,165,1,477,-666.731214083422,0.125,-741.581602822438,-754.5858012305642,309,100,48,0.48,0.1553398058252427,0.1329639889196676,0.19532075142970381,0.2721571439090792,0.6227912016426845
2,0.03,chr10_1Mb,MKK,588,120,51,165,1,480,-719.4959932257462,0.06666666666666667,-812.4316931743665,-820.8832514660903,329,95,49,0.5157894736842106,0.14893617021276595,0.13066666666666665,0.19842750987304378,0.27728981859923024,0.6135005452852657
3,0.03,chr10_1Mb,MKK,588,120,51,165,1,482,-541.5196405948999,0.09166666666666666,-635.853817865517,-644.5550125267545,317,96,54,0.5625,0.17034700315457413,0.15041782729805014,0.18418448598059065,0.2537522579417885,0.6765930270936241
4,0.03,chr10_1Mb,MKK,588,120,51,165,1,473,-906.6245791349637,0.03333333333333333,-1028.5794165155235,-1039.8124459839737,302,106,50,0.4716981132075472,0.16556291390728478,0.13966480446927373,0.20496316159266847,0.29139171639642303,0.5773138920044442
5,0.03,chr10_1Mb,MKK,588,120,51,165,1,482,-645.8997162128295,0.025,-751.0292527650362,-732.1965782497418,307,98,48,0.4897959183673469,0.1563517915309446,0.13445378151260504,0.19262537671826124,0.2691278050642568,0.6325259429453679
6,0.03,chr10_1Mb,MKK,588,120,51,165,1,484,-668.5918309790221,0.1,-728.7673048227903,-729.4816610897574,323,97,59,0.6082474226804123,0.1826625386996904,0.1634349030470914,0.1941645392576891,0.27384361504098576,0.6143716510288895
7,0.03,chr10_1Mb,MKK,588,120,51,165,1,477,-710.1422023120513,0.05,-809.3713242546011,-807.0829076594027,310,96,46,0.4791666666666667,0.14838709677419354,0.12777777777777777,0.19519670852166696,0.2769239400921225,0.608477314835277
8,0.03,chr10_1Mb,MKK,588,120,51,165,1,479,-676.5329536985853,0.008333333333333333,-814.518015889716,-788.7451644511299,309,93,53,0.5698924731182796,0.1715210355987055,0.1518624641833811,0.1893246725207846,0.26859954786680446,0.6419207049693947
9,0.03,chr10_1Mb,MKK,588,120,51,165,1,476,-779.6194008586031,0.075,-885.1312224486792,-867.920110272332,317,97,46,0.4742268041237113,0.14511041009463724,0.125,0.20173547777352913,0.2835723957083148,0.5862608860903706
10,0.03,chr10_1Mb,MKK,588,120,51,165,1,483,-673.3057468181739,0.13333333333333333,-747.8321578825132,-756.72066395935,316,99,50,0.5050505050505051,0.15822784810126583,0.136986301369863,0.191395868215119,0.26598137910965675,0.6442261028095968
11,0.03,chr10_1Mb,MKK,588,120,51,165,1,484,-540.9346791712868,0.03333333333333333,-643.7418227246106,-629.9724722952411,303,90,44,0.4888888888888889,0.14521452145214522,0.12607449856733524,0.18370875985637164,0.2554299962155206,0.6687023280236737
12,0.03,chr10_1Mb,MKK,588,120,51,165,1,479,-746.3734845989834,0.06666666666666667,-856.295004502665,-851.4777529595658,316,97,62,0.6391752577319587,0.1962025316455696,0.17663817663817663,0.18866420014669874,0.27118968509999414,0.6370149937508673
13,0.03,chr10_1Mb,MKK,588,120,51,165,1,481,-779.9253709081886,0.05,-890.9014855385686,-894.0773244826457,303,93,37,0.3978494623655914,0.12211221122112212,0.10306406685236769,0.20003562755139645,0.280838992331523,0.6027415509010701
14,0.03,chr10_1Mb,MKK,588,120,51,165,1,482,-694.2000757552491,0.05,-818.9088608386376,-832.5717680408176,336,93,56,0.6021505376344086,0.16666666666666666,0.15013404825737264,0.19421804840619353,0.27588674693966064,0.612151486599999
15,0.03,chr10_1Mb,MKK,588,120,51,165,1,479,-1008.7014615053689,0.06666666666666667,-1091.9193683385315,-1096.1739897226532,313,96,50,0.5208333333333334,0.1597444089456869,0.1392757660167131,0.20536794750920434,0.2946495185450801,0.5710514345223594
16,0.03,chr10_1Mb,MKK,588,120,51,165,1,479,-770.5834254094775,0.06666666666666667,-880.076108054712,-887.6214057341057,315,96,51,0.53125,0.1619047619047619,0.14166666666666666,0.1968848299739098,0.2752922616751633,0.6270825987666455
17,0.03,chr10_1Mb,MKK,588,120,51,165,1,482,-735.3913313429281,0.058333333333333334,-838.4498888485413,-832.7594481794276,302,99,49,0.494949494949495,0.16225165562913907,0.13920454545454544,0.1930439048559605,0.27043015148233657,0.6379695539423269
18,0.03,chr10_1Mb,MKK,588,120,51,165,1,478,-683.396598453472,0.0,-801.4587217473488,-797.3490823269834,313,96,60,0.625,0.19169329073482427,0.17191977077363896,0.18899086538318421,0.27315714731561325,0.6255842612717044
19,0.03,chr10_1Mb,MKK,588,120,51,165,1,479,-621.4150441397856,0.05,-719.9699767464268,-715.0099903566821,305,98,45,0.45918367346938777,0.14754098360655737,0.12569832402234637,0.18940469766833506,0.2636952990707022,0.6415647804503722
20,0.03,chr10_1Mb,MKK,588,120,51,165,1,480,-785.6141779853108,0.025,-906.0868679744146,-905.7258458867091,323,94,57,0.6063829787234043,0.17647058823529413,0.15833333333333333,0.19750509230006652,0.28154680710726104,0.6046365879532339
21,0.03,chr10_1Mb,MKK,588,120,51,165,1,481,-800.6063859562419,0.025,-897.8877770945597,-894.136418136057,317,93,47,0.5053763440860215,0.14826498422712933,0.12947658402203857,0.20446380313639423,0.28906540538930026,0.5791285274323812
22,0.03,chr10_1Mb,MKK,588,120,51,165,1,481,-778.097792300323,0.041666666666666664,-885.7666677512382,-876.3157656602154,311,101,51,0.504950495049505,0.1639871382636656,0.14127423822714683,0.1973430427241914,0.2785297250454238,0.6167458714844339
23,0.03,chr10_1Mb,MKK,588,120,51,165,1,481,-876.5681266126346,0.058333333333333334,-987.7028942962198,-972.9964928625305,325,99,50,0.5050505050505051,0.15384615384615385,0.13368983957219252,0.20643914963420415,0.2925406998697964,0.571842324672095
24,0.03,chr10_1Mb,MKK,588,120,51,165,1,480,-605.5976880183473,0.10833333333333334,-692.1543756123731,-688.7199715630891,320,97,47,0.4845360824742268,0.146875,0.12702702702702703,0.19093468508364564,0.26420389777628867,0.6412406708582536
25,0.03,chr10_1Mb,MKK,588,120,51,165,1,481,-826.589305208604,0.11666666666666667,-892.0450185539739,-899.8883663956249,315,92,51,0.5543478260869565,0.1619047619047619,0.14325842696629212,0.19568028833701037,0.27923127452116087,0.6070463311705326
26,0.03,chr10_1Mb,MKK,588,120,51,165,1,476,-808.2479210279741,0.09166666666666666,-912.2560605241185,-927.9811221774759,337,95,53,0.5578947368421052,0.1572700296735905,0.13984168865435356,0.2008648054280026,0.2844664980398712,0.6009250340307233
27,0.03,chr10_1Mb,MKK,588,120,51,165,1,480,-741.0424261981705,0.03333333333333333,-826.4892755983915,-830.2344368244738,308,93,55,0.5913978494623656,0.17857142857142858,0.15895953757225434,0.1933732462030313,0.27406473429647926,0.6174155955330453
28,0.03,chr10_1Mb,MKK,588,120,51,165,1,475,-687.2948222643697,0.10833333333333334,-782.824660503191,-793.9923589258216,329,104,51,0.49038461538461536,0.15501519756838905,0.13350785340314136,0.1994344211417647,0.27394903042851676,0.6214544321023082
29,0.03,chr10_1Mb,MKK,588,120,51,165,1,480,-780.5353282151027,0.058333333333333334,-893.7598848835459,-902.0198662197337,321,99,52,0.5252525252525253,0.16199376947040497,0.14130434782608695,0.19813644552136186,0.27828057899444164,0.6184829508812909
0,0.1,chr10_1Mb,MKK,588,120,51,165,1,477,-733.8240857308738,0.041666666666666664,-842.9584945862542,-830.8963373881968,320,100,52,0.52,0.1625,0.14130434782608695,0.19602318352035922,0.2736727205628567,0.6308738273888127
1,0.1,chr10_1Mb,MKK,588,120,51,165,1,477,-672.6076231489437,0.2,-740.4709669119331,-755.2478730546281,309,99,47,0.47474747474747475,0.15210355987055016,0.13019390581717452,0.19545603281498525,0.27195705133572967,0.6235184929479595
2,0.1,chr10_1Mb,MKK,588,120,51,165,1,483,-640.1971938965825,0.075,-724.3279892242875,-733.265824610213,329,90,48,0.5333333333333333,0.1458966565349544,0.1293800539083558,0.19313911598590644,0.2691274427326908,0.6345382330066395
3,0.1,chr10_1Mb,MKK,588,120,51,165,1,482,-583.4240562393932,0.11666666666666667,-656.5555786329357,-669.5749799874554,317,97,54,0.5567010309278351,0.17034700315457413,0.15,0.1848633016118796,0.2549607240153352,0.6740575579689159
4,0.1,chr10_1Mb,MKK,588,120,51,165,1,478,-823.8844210607152,0.08333333333333333,-916.6509981981726,-908.0244064920795,302,103,46,0.44660194174757284,0.152317880794702,0.12813370473537605,0.20022560362410236,0.28084829800819133,0.6028086340251293
5,0.1,chr10_1Mb,MKK,588,120,51,165,1,479,-715.289839469764,0.1,-781.4268844618838,-782.7938967332313,307,98,45,0.45918367346938777,0.1465798045602606,0.125,0.19250326688323913,0.269745768426466,0.6345404555399519
6,0.1,chr10_1Mb,MKK,588,120,51,165,1,484,-706.6816932681298,0.008333333333333333,-833.6392722607454,-845.5311023401099,323,96,57,0.59375,0.17647058823529413,0.1574585635359116,0.19796395072015852,0.28354155019788224,0.5865834461062382
7,0.1,chr10_1Mb,MKK,588,120,51,165,1,478,-888.3263613853892,0.08333333333333333,-963.4986881109895,-966.9000466385608,310,100,49,0.49,0.15806451612903225,0.13573407202216067,0.2009932269011142,0.2890955633166141,0.5859618653101993
8,0.1,chr10_1Mb,MKK,588,120,51,165,1,479,-621.1805127585544,0.008333333333333333,-750.0585299154852,-724.7149206089682,309,94,53,0.5638297872340425,0.1715210355987055,0.15142857142857144,0.18625960433521702,0.26177004890220645,0.6591341907486705
9,0.1,chr10_1Mb,MKK,588,120,51,165,1,476,-776.4094959610079,0.041666666666666664,-916.947857285484,-902.6646115294857,317,96,48,0.5,0.15141955835962145,0.13150684931506848,0.20108888441275072,0.2841851108630726,0.5878752943406085
10,0.1,chr10_1Mb,MKK,588,120,51,165,1,483,-569.3580545920927,0.14166666666666666,-636.4664692670564,-647.2620879706883,316,92,47,0.5108695652173914,0.14873417721518986,0.13019390581717452,0.18630721852357915,0.2573251338081569,0.6584584035536255
11,0.1,chr10_1Mb,MKK,588,120,51,165,1,483,-552.653031027188,0.025,-675.4064942336084,-658.9235006412418,303,91,45,0.4945054945054945,0.1485148514851485,0.12893982808022922,0.18534759720949465,0.2583834897425595,0.6622966634961034
12,0.1,chr10_1Mb,MKK,588,120,51,165,1,478,-683.2996722395965,0.08333333333333333,-783.9748608845343,-780.3419321440983,316,96,61,0.6354166666666666,0.1930379746835443,0.1737891737891738,0.18588422068465482,0.26514346639232056,0.6530165184865935
13,0.1,chr10_1Mb,MKK,588,120,51,165,1,481,-779.9253709081886,0.05,-890.9014855385686,-894.0773244826457,303,93,37,0.3978494623655914,0.12211221122112212,0.10306406685236769,0.20003562755139645,0.280838992331523,0.6027415509010701
14,0.1,chr10_1Mb,MKK,588,120,51,165,1,484,-601.917879817333,0.05,-707.7198202789216,-712.1496800812752,336,93,56,0.6021505376344086,0.16666666666666666,0.15013404825737264,0.1887025686598281,0.26496699980381877,0.6423233121696935
15,0.1,chr10_1Mb,MKK,588,120,51,165,1,480,-867.713053045185,0.1,-963.2544182538295,-966.3698078709153,313,94,56,0.5957446808510638,0.17891373801916932,0.15954415954415954,0.1974650250733951,0.28295827658310846,0.5985957266527255
16,0.1,chr10_1Mb,MKK,588,120,51,165,1,481,-715.1411387195632,0.06666666666666667,-825.0110124025225,-838.3386482513948,315,92,47,0.5108695652173914,0.1492063492063492,0.13055555555555556,0.19277634501740687,0.27185842865491205,0.6303866191649421
17,0.1,chr10_1Mb,MKK,588,120,51,165,1,478,-842.5866882140642,0.08333333333333333,-960.5562043758574,-965.2577291346482,302,101,45,0.44554455445544555,0.1490066225165563,0.12569832402234637,0.2033275599639367,0.28769766794099544,0.5805998536142455
18,0.1,chr10_1Mb,MKK,588,120,51,165,1,478,-687.5203960078031,0.0,-798.1530388883538,-795.6156161471635,313,99,60,0.6060606060606061,0.19169329073482427,0.17045454545454544,0.19105965464325667,0.27469195437002647,0.6184311131662992
19,0.1,chr10_1Mb,MKK,588,120,51,165,1,477,-647.9013743954915,0.041666666666666664,-758.6884275215765,-753.6074855639772,305,98,47,0.47959183673469385,0.1540983606557377,0.13202247191011235,0.18936368902541004,0.26684745891687983,0.6341496203940791
20,0.1,chr10_1Mb,MKK,588,120,51,165,1,480,-785.6141779853108,0.025,-906.0868679744146,-905.7258458867091,323,94,57,0.6063829787234043,0.17647058823529413,0.15833333333333333,0.19750509230006652,0.28154680710726104,0.6046365879532339
21,0.1,chr10_1Mb,MKK,588,120,51,165,1,485,-703.5925823245611,0.025,-794.5334786213191,-797.4270663177913,317,88,42,0.4772727272727273,0.13249211356466878,0.11570247933884298,0.20098840004439195,0.283969645414878,0.5873792129703643
22,0.1,chr10_1Mb,MKK,588,120,51,165,1,481,-778.097792300323,0.041666666666666664,-885.7666677512382,-876.3157656602154,311,101,51,0.504950495049505,0.1639871382636656,0.14127423822714683,0.1973430427241914,0.2785297250454238,0.6167458714844339
23,0.1,chr10_1Mb,MKK,588,120,51,165,1,482,-708.5100223918535,0.058333333333333334,-797.9064346033591,-789.3937552581951,325,98,50,0.5102040816326531,0.15384615384615385,0.13404825737265416,0.1951277051210838,0.27435846446609935,0.6181008855411458
