seed,eps,region,case_pop,n_snps,n_train,n_test,n_ctrl,n_min,delta1,scale,lr_threshold_test_95pct,lr_power,lr_member_mean,lr_nonmember_mean,true_sig,noisy_sig,tp,precision,recall,jaccard,maf_mse,maf_mae,clip_frac,shrink_alpha
0,0.03,chr10_1Mb,MKK,588,120,51,165,114,5.157894736842105,171.9298245614035,-7110.454964704401,0.025,-7510.08682794947,-7448.735475774502,320,564,303,0.5372340425531915,0.946875,0.5215146299483648,0.351299255908316,0.5067774146359205,0.9948979591836735,1.0
1,0.03,chr10_1Mb,MKK,588,120,51,165,112,5.25,175.0,-6656.905799338463,0.08333333333333333,-6960.6713781731105,-6914.576747966546,309,558,287,0.514336917562724,0.9288025889967637,0.49482758620689654,0.31755875265047295,0.4743360176979294,0.9948979591836735,1.0
2,0.03,chr10_1Mb,MKK,588,120,51,165,112,5.25,175.0,-7246.011636004412,0.05,-7534.566854504242,-7525.38124196293,329,561,309,0.5508021390374331,0.939209726443769,0.53184165232358,0.3525808658297152,0.5079009711914613,1.0,1.0
3,0.03,chr10_1Mb,MKK,588,120,51,165,114,5.157894736842105,171.9298245614035,-7025.308558341774,0.125,-7297.027220163413,-7310.085175854919,317,561,296,0.5276292335115864,0.9337539432176656,0.5085910652920962,0.3374970433375839,0.4951730248726205,0.9948979591836735,1.0
4,0.03,chr10_1Mb,MKK,588,120,51,165,114,5.157894736842105,171.9298245614035,-6896.891425260152,0.025,-7301.671236663029,-7227.518130437601,302,567,286,0.5044091710758377,0.9470198675496688,0.49056603773584906,0.33776312373238104,0.4952336549205875,0.9897959183673469,1.0
5,0.03,chr10_1Mb,MKK,588,120,51,165,114,5.157894736842105,171.9298245614035,-7029.394883832405,0.09166666666666666,-7318.578186939243,-7328.361860510675,307,565,293,0.5185840707964602,0.9543973941368078,0.5060449050086355,0.3392933920307133,0.4952101175510574,0.9965986394557823,1.0
6,0.03,chr10_1Mb,MKK,588,120,51,165,113,5.20353982300885,173.45132743362834,-7336.861923096874,0.16666666666666666,-7548.433181129359,-7600.588007216714,323,562,303,0.5391459074733096,0.9380804953560371,0.520618556701031,0.35476372619017804,0.5103507681168996,0.9965986394557823,1.0
7,0.03,chr10_1Mb,MKK,588,120,51,165,113,5.20353982300885,173.45132743362834,-7891.266249991825,0.1,-8146.93032124135,-8146.558550719863,310,567,296,0.5220458553791887,0.9548387096774194,0.5094664371772806,0.3885968171078386,0.5453411878568278,1.0,1.0
8,0.03,chr10_1Mb,MKK,588,120,51,165,114,5.157894736842105,171.9298245614035,-7125.506490154112,0.11666666666666667,-7369.1015665197665,-7363.89448872205,309,558,288,0.5161290322580645,0.9320388349514563,0.49740932642487046,0.3407339081267061,0.4982479084791516,0.9982993197278912,1.0
9,0.03,chr10_1Mb,MKK,588,120,51,165,113,5.20353982300885,173.45132743362834,-6964.4632666040325,0.025,-7368.419892452927,-7332.401520850251,317,562,297,0.5284697508896797,0.9369085173501577,0.5103092783505154,0.34093843879059643,0.4982142114073093,0.9965986394557823,1.0
10,0.03,chr10_1Mb,MKK,588,120,51,165,114,5.157894736842105,171.9298245614035,-6889.732074482024,0.10833333333333334,-7090.651072684223,-7134.005242637817,316,563,298,0.5293072824156305,0.9430379746835443,0.5129087779690189,0.32487400735696237,0.4803913320894134,0.9965986394557823,1.0
11,0.03,chr10_1Mb,MKK,588,120,51,165,114,5.157894736842105,171.9298245614035,-7269.344849789181,0.058333333333333334,-7594.188746328945,-7612.524108918374,303,567,286,0.5044091710758377,0.9438943894389439,0.4897260273972603,0.35712400122404797,0.5129608348037095,0.9948979591836735,1.0
12,0.03,chr10_1Mb,MKK,588,120,51,165,113,5.20353982300885,173.45132743362834,-7030.650655083391,0.06666666666666667,-7345.9329097772215,-7341.416248697289,316,558,292,0.5232974910394266,0.9240506329113924,0.5017182130584192,0.3412511183764195,0.4977265181726237,0.9948979591836735,1.0
13,0.03,chr10_1Mb,MKK,588,120,51,165,113,5.20353982300885,173.45132743362834,-7216.663984772488,0.03333333333333333,-7570.552517369601,-7576.495876455228,303,564,285,0.5053191489361702,0.9405940594059405,0.4896907216494845,0.3538605722107122,0.5104509173695378,0.9982993197278912,1.0
14,0.03,chr10_1Mb,MKK,588,120,51,165,113,5.20353982300885,173.45132743362834,-7397.111615153492,0.058333333333333334,-7672.760114501138,-7643.94229012477,336,569,321,0.5641476274165202,0.9553571428571429,0.5496575342465754,0.35930250679969333,0.516344711691352,1.0,1.0
15,0.03,chr10_1Mb,MKK,588,120,51,165,113,5.20353982300885,173.45132743362834,-6881.221669939313,0.016666666666666666,-7207.201274108953,-7234.13227591608,313,563,297,0.5275310834813499,0.9488817891373802,0.5129533678756477,0.33237971859215204,0.4895940523136972,0.9948979591836735,1.0
