seed,eps,region,n_snps,n_train,n_test,n_ctrl,report_k,zero_reports,lr_threshold_test_95pct,lr_power,lr_member_mean,lr_nonmember_mean,true_sig,noisy_sig,tp,precision,recall,jaccard,maf_mae,rmse_maf,corr_maf
0,0.03,chr10_1Mb,581,123,53,120,1,505,-205.03526345447654,0.07317073170731707,-493.83415129922315,-503.89752849673033,89,62,12,0.1935483870967742,0.1348314606741573,0.08633093525179857,0.1042389749662889,0.23323634462302223,0.828939507858868
1,0.03,chr10_1Mb,581,123,53,120,1,513,-277.15903933132523,0.08943089430894309,-440.84441722884975,-446.1846097427634,88,59,13,0.22033898305084745,0.14772727272727273,0.09701492537313433,0.09504917208933121,0.21040380598574782,0.8607131735152886
2,0.03,chr10_1Mb,581,123,53,120,1,512,-94.63002641818105,0.1951219512195122,-255.51496762596395,-291.87305156701103,77,48,8,0.16666666666666666,0.1038961038961039,0.06837606837606838,0.09315488428101931,0.19284685608661228,0.882770218697491
3,0.03,chr10_1Mb,581,123,53,120,1,517,-213.867696175932,0.07317073170731707,-391.4710325461428,-457.7180602661607,83,49,9,0.1836734693877551,0.10843373493975904,0.07317073170731707,0.09237683758815131,0.2112204420198698,0.8592052855451695
4,0.03,chr10_1Mb,581,123,53,120,1,510,-187.74613799270747,0.056910569105691054,-424.7770693677664,-407.0799548224518,92,54,13,0.24074074074074073,0.14130434782608695,0.09774436090225563,0.10035267291262123,0.21899273692406315,0.8483714559039983
5,0.03,chr10_1Mb,581,123,53,120,1,505,-172.45096179772423,0.056910569105691054,-432.25948548812227,-421.87019306086086,94,59,13,0.22033898305084745,0.13829787234042554,0.09285714285714286,0.10381777105065969,0.2243719997687612,0.8400810150863927
6,0.03,chr10_1Mb,581,123,53,120,1,511,-237.68896246067902,0.12195121951219512,-430.92669768938805,-472.4045795563036,83,48,7,0.14583333333333334,0.08433734939759036,0.056451612903225805,0.09261780487832916,0.20795718224527854,0.8658020593876103
7,0.03,chr10_1Mb,581,123,53,120,1,509,-162.20989534397125,0.0975609756097561,-409.7636362505046,-419.80836488649646,71,54,9,0.16666666666666666,0.1267605633802817,0.07758620689655173,0.09607116599699919,0.22269178764524375,0.8431709318337562
8,0.03,chr10_1Mb,581,123,53,120,1,516,-155.79668390035866,0.024390243902439025,-393.3133610801827,-393.07205114321016,100,50,14,0.28,0.14,0.10294117647058823,0.10113468781129603,0.21684357519447964,0.8509384886350505
9,0.03,chr10_1Mb,581,123,53,120,1,508,-215.15731130855463,0.0,-395.4473858906867,-398.9703464875454,86,56,12,0.21428571428571427,0.13953488372093023,0.09230769230769231,0.09247029506791447,0.20351051990401137,0.8708061653799873
0,0.1,chr10_1Mb,581,123,53,120,1,505,-185.8848623571984,0.16260162601626016,-440.9386756815488,-441.1312236299947,89,61,10,0.16393442622950818,0.11235955056179775,0.07142857142857142,0.10083984209190729,0.22129245835464387,0.8467407982399098
1,0.1,chr10_1Mb,581,123,53,120,1,513,-277.15903933132523,0.08943089430894309,-440.84441722884975,-446.1846097427634,88,59,13,0.22033898305084745,0.14772727272727273,0.09701492537313433,0.09504917208933121,0.21040380598574782,0.8607131735152886
2,0.1,chr10_1Mb,581,123,53,120,1,512,-94.63002641818105,0.1951219512195122,-255.51496762596395,-291.87305156701103,77,48,8,0.16666666666666666,0.1038961038961039,0.06837606837606838,0.09315488428101931,0.19284685608661228,0.882770218697491
3,0.1,chr10_1Mb,581,123,53,120,1,518,-165.833198913607,0.024390243902439025,-344.66217818093213,-401.6732438441239,83,48,10,0.20833333333333334,0.12048192771084337,0.08264462809917356,0.08822508888173851,0.201657100540454,0.8715895517786342
4,0.1,chr10_1Mb,581,123,53,120,1,508,-212.9797196026858,0.032520325203252036,-430.14869424453127,-415.2993900049471,92,57,14,0.24561403508771928,0.15217391304347827,0.1037037037037037,0.10127134520150768,0.2160952517036282,0.8521597263315734
5,0.1,chr10_1Mb,581,123,53,120,1,504,-210.23205302377957,0.04065040650406504,-435.15700098011376,-433.75545818128205,94,60,14,0.23333333333333334,0.14893617021276595,0.1,0.10112248490533611,0.21882607677626195,0.8483144982011777
6,0.1,chr10_1Mb,581,123,53,120,1,512,-165.60454703254348,0.13008130081300814,-319.59569886393723,-352.7773696758498,83,43,9,0.20930232558139536,0.10843373493975904,0.07692307692307693,0.08693967239350289,0.1930158156296384,0.8823938272708145
