method,method_label,region,eps,seed,lr_power,utility_jaccard,distortion_mae
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,0,0.025,0.5215146299483648,0.5067774146359205
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,1,0.0833333333333333,0.4948275862068965,0.4743360176979294
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,2,0.05,0.53184165232358,0.5079009711914613
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,3,0.125,0.5085910652920962,0.4951730248726205
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,4,0.025,0.490566037735849,0.4952336549205875
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,5,0.0916666666666666,0.5060449050086355,0.4952101175510574
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,6,0.1666666666666666,0.520618556701031,0.5103507681168996
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,7,0.1,0.5094664371772806,0.5453411878568278
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,8,0.1166666666666666,0.4974093264248704,0.4982479084791516
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,9,0.025,0.5103092783505154,0.4982142114073093
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,10,0.1083333333333333,0.5129087779690189,0.4803913320894134
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,11,0.0583333333333333,0.4897260273972603,0.5129608348037095
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,12,0.0666666666666666,0.5017182130584192,0.4977265181726237
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,13,0.0333333333333333,0.4896907216494845,0.5104509173695378
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,14,0.0583333333333333,0.5496575342465754,0.516344711691352
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,15,0.0166666666666666,0.5129533678756477,0.4895940523136972
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,16,0.1416666666666666,0.5189655172413793,0.4954415574831103
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,17,0.0083333333333333,0.4828178694158075,0.496214439155995
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,18,0.0083333333333333,0.5,0.5008162131749379
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,19,0.0833333333333333,0.5,0.5033882670944683
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,20,0.075,0.5173010380622838,0.5021070223814866
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,21,0.0416666666666666,0.5077186963979416,0.4902656757653746
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,22,0.1416666666666666,0.4965635738831615,0.4969578138055434
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,23,0.1666666666666666,0.5275862068965518,0.4821773323236222
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,24,0.1,0.5094339622641509,0.4988891188337227
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,25,0.0916666666666666,0.511986301369863,0.5076543837678659
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,26,0.0916666666666666,0.5481099656357389,0.4947164411093761
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,27,0.025,0.5060240963855421,0.5017183401057022
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,28,0.025,0.5327586206896552,0.5058697943078875
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.03,29,0.225,0.5173010380622838,0.4838127869196733
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,0,0.025,0.5215146299483648,0.5050233459642705
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,1,0.075,0.496551724137931,0.4719674519215223
method1,Method 1 (SNP Laplace DP),chr10_1Mb,0.1,2,0.05,0.53184165232358,0.5079009711914613
